RM,AGE,DIS,RAD,TAX,y
4.138,100.0,1.137,24.0,666.0,13.8
6.315,73.4,3.3175,5.0,296.0,24.6
6.649,93.3,1.3449,24.0,666.0,13.9
5.565,70.6,2.0635,24.0,666.0,11.7
6.833,94.3,2.0882,24.0,666.0,14.1
6.095,65.1,6.3361,6.0,300.0,20.1
6.185,96.7,2.1705,24.0,666.0,14.6
6.657,100.0,1.5275,24.0,666.0,17.2
6.14,45.8,4.0905,5.0,398.0,20.8
5.362,96.2,2.1036,24.0,666.0,20.8
5.757,100.0,1.413,24.0,666.0,15.0
5.454,92.7,1.8209,4.0,711.0,15.2
7.014,84.6,2.1329,5.0,264.0,30.7
5.706,28.4,6.6407,1.0,304.0,17.1
6.014,48.5,8.0136,3.0,352.0,17.5
6.193,78.1,1.9356,24.0,666.0,11.0
6.02,47.2,3.5549,5.0,296.0,23.2
6.266,82.8,3.2628,4.0,304.0,21.6
6.004,85.9,6.5921,5.0,311.0,18.9
6.411,100.0,1.8589,24.0,666.0,16.7
7.007,86.3,3.4217,2.0,270.0,23.6
5.531,85.4,1.6074,24.0,666.0,8.5
4.88,100.0,1.5895,24.0,666.0,10.2
5.786,33.3,5.1004,3.0,233.0,20.0
5.701,95.0,3.7872,4.0,307.0,13.1
6.456,67.8,7.2255,8.0,284.0,22.2
6.487,13.0,7.3967,7.0,330.0,24.4
3.561,87.9,1.6132,24.0,666.0,27.5
6.854,42.8,4.2673,4.0,254.0,32.0
4.628,100.0,1.5539,24.0,666.0,17.9
6.066,100.0,1.7573,5.0,403.0,24.3
6.122,97.3,1.618,5.0,403.0,21.5
4.652,100.0,1.4672,24.0,666.0,10.5
6.212,97.4,2.1222,24.0,666.0,17.8
6.219,100.0,2.0048,24.0,666.0,18.4
6.538,58.7,3.9175,3.0,223.0,24.4
6.29,17.8,6.6115,4.0,337.0,23.5
6.383,35.7,9.1876,2.0,313.0,24.7
5.856,97.0,1.9444,2.0,188.0,17.3
6.575,65.2,4.09,1.0,296.0,24.0
5.602,62.0,6.0877,3.0,233.0,19.4
6.782,41.1,3.7886,5.0,398.0,32.0
6.03,85.5,5.6894,3.0,233.0,16.6
6.545,99.1,1.5192,24.0,666.0,10.9
5.399,95.3,5.87,3.0,233.0,14.4
6.696,56.4,5.7321,5.0,370.0,23.9
6.431,98.8,1.8125,4.0,437.0,18.0
6.513,89.9,2.8016,24.0,666.0,20.2
5.836,91.9,2.211,5.0,384.0,19.5
5.731,65.2,2.7592,6.0,432.0,19.3
6.333,17.2,5.2146,4.0,430.0,22.6
7.412,76.9,3.6715,8.0,307.0,31.7
6.012,66.6,5.5605,5.0,311.0,22.9
5.468,100.0,1.4118,5.0,403.0,15.6
5.924,94.1,4.3996,4.0,307.0,15.6
6.442,53.6,3.6659,4.0,270.0,22.9
5.617,97.9,1.4547,24.0,666.0,17.2
6.718,17.5,7.8265,7.0,330.0,26.2
6.655,98.2,2.3552,24.0,666.0,15.2
